Row Labels,Sum of Fat (g),Sum of Carbs (g),Sum of Protein (g)
5/26/2017,82.23,176.58,67.93
5/27/2017,85.78,98.8,102.35
5/28/2017,70.04,183.08,95.53
5/29/2017,47.55,158.34,99.98
5/30/2017,60.62,152.33,89.59
5/31/2017,59.65,144.09,37.28
6/1/2017,52.67,156.08,60.33
6/2/2017,29.26,97.25,56.09
6/3/2017,68.08,170.8,87.39
6/4/2017,47.48,117.42,101.06
6/5/2017,54.58,155.63,59.67
6/6/2017,39.96,37.69,40.92
6/7/2017,45.59,111.8,64.44
6/8/2017,56.24,92.17,58.76
6/9/2017,45.14,154.74,41.46
6/10/2017,53.3,76.99,72.79
6/11/2017,65.43,123.83,43.34
6/12/2017,84.02,100.81,35.35
6/13/2017,32.25,98.84,54.25
6/14/2017,52.54,78.31,72.88
6/15/2017,44.8,125.56,51.05
6/16/2017,28.61,94.42,72.7
6/17/2017,40.49,83.48,82.45
6/18/2017,33.86,117.64,88.42
6/19/2017,30.51,108.05,79.45
6/20/2017,50.98,106.34,44.02
6/21/2017,44.26,43.87,96.2
6/22/2017,21.6,107.75,80.71
6/23/2017,35.86,81.16,78.88
6/24/2017,47.09,78.54,73.48
6/25/2017,52.03,232.96,61.76
6/26/2017,50.78,86.37,70.74
6/27/2017,44.29,91.58,107.34
6/28/2017,19.97,132.33,57.11
6/29/2017,88.36,135.73,43.12
6/30/2017,37.89,77.56,47.82
7/1/2017,62.98,121.55,61.78
7/2/2017,68.87,90.99,72.26
7/3/2017,35.05,116.34,83.58
7/4/2017,49.11,62.56,55.53
7/5/2017,55.42,110.22,55.75
7/6/2017,38.09,117.05,126.94
7/7/2017,58.37,107.76,40.53
7/8/2017,44.33,104.5,78.55
7/9/2017,49.43,102.42,73.27
7/10/2017,27.31,114.6,63.19
7/11/2017,38.29,125.7,28.55
7/12/2017,38.11,97.08,143.12
7/13/2017,26.43,34.09,113.84
7/14/2017,55.58,149.39,60.4
7/15/2017,34.07,84.53,65.3
7/16/2017,24.81,141.36,63.32
7/17/2017,66.4,71.08,113.65
7/18/2017,50.55,172.57,58.53
7/19/2017,44.12,40.93,85.16
7/20/2017,27.74,107.18,95.96
7/21/2017,46.61,70.21,58.23
7/22/2017,46.83,263.63,74.24
7/23/2017,60.3,139.65,137.51
7/24/2017,36.98,95.5,63
7/25/2017,49.6,81.32,71.9
7/26/2017,48.51,73.52,73.28
7/27/2017,25.46,54.34,39.18
7/28/2017,69.51,39.43,70.47
7/29/2017,38.72,115.36,66.88
7/30/2017,46.72,104.59,47.41
7/31/2017,37.68,33.59,54.58
8/1/2017,49.15,95.24,44.7
8/2/2017,45.13,97.55,83.07
8/3/2017,66.89,69.41,45
8/4/2017,40.55,132.47,76.04
8/5/2017,54.57,57.69,55.58
8/6/2017,70.66,23.79,114.14
8/7/2017,59.09,81.57,58.01
8/8/2017,59.91,73.83,68.53
8/9/2017,58.29,68.75,58.97
8/10/2017,50.61,112.49,88.44
8/11/2017,36.21,115.22,58.14
8/12/2017,52.39,81.8,61.33
Grand Total,3849.22,8341.77,5584.48
